,#,Address,File #,Type,Status,Date Issued,Date Closed,Description
0,1,585 Eramosa Rd,92 001540 000 00 SS,Sign Permit,Closed,"Nov 02, 1992","Jan 04, 1996",Fascia Signs Fresh Pak
1,2,585 Eramosa Rd,94 001665 000 00 SS,Sign Permit,Closed,"Nov 18, 1994","Jan 21, 2002",Modify Service Station Canopy Imperial Oil
2,3,585 Eramosa Rd,94 001807 000 00 SS,Sign Permit,Closed,"Nov 16, 1994","Jan 22, 1996",Modify Existing Pylon Sign Esso / 7-eleven
3,4,585 Eramosa Rd,94 001876 000 00 SS,Sign Permit,Closed,"Nov 28, 1994","Jan 22, 1996",Canopy Signs Esso/7-11 Store
4,5,585 Eramosa Rd,95 022062 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 26, 1995","Jan 30, 2014",Interior renovations to Domino's Pizza - installing floor and tiling wall
5,6,585 Eramosa Rd,95 022092 000 00 SS,Sign Permit,Closed,"Jul 31, 1995","Jan 24, 2002",Relocate existing sign box from 275 Eramosa Rd.
6,7,585 Eramosa Rd,96 028426 000 00 SS,Sign Permit,Closed,"Apr 17, 1996","Jan 03, 1997","Two new fascia signs for  the 7-11 Store,  replacing existing store signage"
7,8,585 Eramosa Rd,97 047912 000 00 SS,Sign Permit,Closed,"Feb 19, 1998","Jan 17, 2000",2 Building Signs for CIBC
8,9,585 Eramosa Rd,98 101012 000 00 PS,Special Categories - Building Permit,Closed,"Feb 17, 1998","Jun 04, 1998","Demising Walls & new doorway (split unit B)(no plumbing, no HVAC)"
9,10,585 Eramosa Rd,99 004743 000 00 SS,Sign Permit,Closed,"Dec 16, 1999","Dec 31, 1999",The Addition of 2 sign boxes to the existing freestanding sign
10,11,585 Eramosa Rd,05 082703 000 00 PK,Backflow Devices - Building Permit,Closed,"Aug 16, 2005","Oct 05, 2005","1 - 1"" Conbraco DCVA, back of 7111 - 1"" Conbraco DCVA, irrigation system"
